Problem:    Ambulanze
Rows:       326
Columns:    54 (54 integer, 54 binary)
Non-zeros:  698
Status:     INTEGER OPTIMAL
Objective:  z = 3040 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 copertura[1,1]
                                   0                           8 
     2 copertura[1,2]
                                   0                           8 
     3 copertura[1,3]
                                   0                           8 
     4 copertura[1,4]
                                   0                           8 
     5 copertura[1,5]
                                   0                           8 
     6 copertura[1,6]
                                   0                           8 
     7 copertura[2,1]
                                   0                           8 
     8 copertura[2,2]
                                   0                           8 
     9 copertura[2,3]
                                   0                           8 
    10 copertura[2,4]
                                   0                           8 
    11 copertura[2,5]
                                   0                           8 
    12 copertura[2,6]
                                   0                           8 
    13 copertura[3,1]
                                   5                           8 
    14 copertura[3,2]
                                   0                           8 
    15 copertura[3,3]
                                   0                           8 
    16 copertura[3,4]
                                   0                           8 
    17 copertura[3,5]
                                   0                           8 
    18 copertura[3,6]
                                   0                           8 
    19 copertura[4,1]
                                   0                           8 
    20 copertura[4,2]
                                   0                           8 
    21 copertura[4,3]
                                   0                           8 
    22 copertura[4,4]
                                   0                           8 
    23 copertura[4,5]
                                   0                           8 
    24 copertura[4,6]
                                   0                           8 
    25 copertura[5,1]
                                   5                           8 
    26 copertura[5,2]
                                   0                           8 
    27 copertura[5,3]
                                   0                           8 
    28 copertura[5,4]
                                   0                           8 
    29 copertura[5,5]
                                   0                           8 
    30 copertura[5,6]
                                   0                           8 
    31 copertura[6,1]
                                   0                           8 
    32 copertura[6,2]
                                   8                           8 
    33 copertura[6,3]
                                   0                           8 
    34 copertura[6,4]
                                   0                           8 
    35 copertura[6,5]
                                   0                           8 
    36 copertura[6,6]
                                   0                           8 
    37 copertura[7,1]
                                   0                           8 
    38 copertura[7,2]
                                   0                           8 
    39 copertura[7,3]
                                   0                           8 
    40 copertura[7,4]
                                   0                           8 
    41 copertura[7,5]
                                   0                           8 
    42 copertura[7,6]
                                   0                           8 
    43 copertura[8,1]
                                   0                           8 
    44 copertura[8,2]
                                   0                           8 
    45 copertura[8,3]
                                   0                           8 
    46 copertura[8,4]
                                   0                           8 
    47 copertura[8,5]
                                   0                           8 
    48 copertura[8,6]
                                   0                           8 
    49 copertura[9,1]
                                   0                           8 
    50 copertura[9,2]
                                   0                           8 
    51 copertura[9,3]
                                   0                           8 
    52 copertura[9,4]
                                   0                           8 
    53 copertura[9,5]
                                   0                           8 
    54 copertura[9,6]
                                   0                           8 
    55 max_ambulanze
                                   3                           3 
    56 integrity[1,2,1]
                                   0                           1 
    57 integrity[1,2,2]
                                   0                           1 
    58 integrity[1,2,3]
                                   1                           1 
    59 integrity[1,2,4]
                                   0                           1 
    60 integrity[1,2,5]
                                   1                           1 
    61 integrity[1,2,6]
                                   1                           1 
    62 integrity[1,2,7]
                                   0                           1 
    63 integrity[1,2,8]
                                   0                           1 
    64 integrity[1,2,9]
                                   0                           1 
    65 integrity[1,3,1]
                                   0                           1 
    66 integrity[1,3,2]
                                   0                           1 
    67 integrity[1,3,3]
                                   1                           1 
    68 integrity[1,3,4]
                                   0                           1 
    69 integrity[1,3,5]
                                   1                           1 
    70 integrity[1,3,6]
                                   0                           1 
    71 integrity[1,3,7]
                                   0                           1 
    72 integrity[1,3,8]
                                   0                           1 
    73 integrity[1,3,9]
                                   0                           1 
    74 integrity[1,4,1]
                                   0                           1 
    75 integrity[1,4,2]
                                   0                           1 
    76 integrity[1,4,3]
                                   1                           1 
    77 integrity[1,4,4]
                                   0                           1 
    78 integrity[1,4,5]
                                   1                           1 
    79 integrity[1,4,6]
                                   0                           1 
    80 integrity[1,4,7]
                                   0                           1 
    81 integrity[1,4,8]
                                   0                           1 
    82 integrity[1,4,9]
                                   0                           1 
    83 integrity[1,5,1]
                                   0                           1 
    84 integrity[1,5,2]
                                   0                           1 
    85 integrity[1,5,3]
                                   1                           1 
    86 integrity[1,5,4]
                                   0                           1 
    87 integrity[1,5,5]
                                   1                           1 
    88 integrity[1,5,6]
                                   0                           1 
    89 integrity[1,5,7]
                                   0                           1 
    90 integrity[1,5,8]
                                   0                           1 
    91 integrity[1,5,9]
                                   0                           1 
    92 integrity[1,6,1]
                                   0                           1 
    93 integrity[1,6,2]
                                   0                           1 
    94 integrity[1,6,3]
                                   1                           1 
    95 integrity[1,6,4]
                                   0                           1 
    96 integrity[1,6,5]
                                   1                           1 
    97 integrity[1,6,6]
                                   0                           1 
    98 integrity[1,6,7]
                                   0                           1 
    99 integrity[1,6,8]
                                   0                           1 
   100 integrity[1,6,9]
                                   0                           1 
   101 integrity[2,1,1]
                                   0                           1 
   102 integrity[2,1,2]
                                   0                           1 
   103 integrity[2,1,3]
                                   1                           1 
   104 integrity[2,1,4]
                                   0                           1 
   105 integrity[2,1,5]
                                   1                           1 
   106 integrity[2,1,6]
                                   1                           1 
   107 integrity[2,1,7]
                                   0                           1 
   108 integrity[2,1,8]
                                   0                           1 
   109 integrity[2,1,9]
                                   0                           1 
   110 integrity[2,3,1]
                                   0                           1 
   111 integrity[2,3,2]
                                   0                           1 
   112 integrity[2,3,3]
                                   0                           1 
   113 integrity[2,3,4]
                                   0                           1 
   114 integrity[2,3,5]
                                   0                           1 
   115 integrity[2,3,6]
                                   1                           1 
   116 integrity[2,3,7]
                                   0                           1 
   117 integrity[2,3,8]
                                   0                           1 
   118 integrity[2,3,9]
                                   0                           1 
   119 integrity[2,4,1]
                                   0                           1 
   120 integrity[2,4,2]
                                   0                           1 
   121 integrity[2,4,3]
                                   0                           1 
   122 integrity[2,4,4]
                                   0                           1 
   123 integrity[2,4,5]
                                   0                           1 
   124 integrity[2,4,6]
                                   1                           1 
   125 integrity[2,4,7]
                                   0                           1 
   126 integrity[2,4,8]
                                   0                           1 
   127 integrity[2,4,9]
                                   0                           1 
   128 integrity[2,5,1]
                                   0                           1 
   129 integrity[2,5,2]
                                   0                           1 
   130 integrity[2,5,3]
                                   0                           1 
   131 integrity[2,5,4]
                                   0                           1 
   132 integrity[2,5,5]
                                   0                           1 
