Problem:    Ordini
Rows:       841
Columns:    120 (100 integer, 100 binary)
Non-zeros:  2490
Status:     INTEGER OPTIMAL
Objective:  z1 = 73 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 noLoop3[1,2,3]
                                   1                           2 
     2 noLoop3[1,2,4]
                                   1                           2 
     3 noLoop3[1,2,5]
                                   1                           2 
     4 noLoop3[1,2,6]
                                   1                           2 
     5 noLoop3[1,2,7]
                                   1                           2 
     6 noLoop3[1,2,8]
                                   1                           2 
     7 noLoop3[1,2,9]
                                   1                           2 
     8 noLoop3[1,2,10]
                                   1                           2 
     9 noLoop3[1,3,2]
                                   2                           2 
    10 noLoop3[1,3,4]
                                   1                           2 
    11 noLoop3[1,3,5]
                                   2                           2 
    12 noLoop3[1,3,6]
                                   1                           2 
    13 noLoop3[1,3,7]
                                   1                           2 
    14 noLoop3[1,3,8]
                                   1                           2 
    15 noLoop3[1,3,9]
                                   1                           2 
    16 noLoop3[1,3,10]
                                   2                           2 
    17 noLoop3[1,4,2]
                                   2                           2 
    18 noLoop3[1,4,3]
                                   2                           2 
    19 noLoop3[1,4,5]
                                   2                           2 
    20 noLoop3[1,4,6]
                                   2                           2 
    21 noLoop3[1,4,7]
                                   2                           2 
    22 noLoop3[1,4,8]
                                   2                           2 
    23 noLoop3[1,4,9]
                                   2                           2 
    24 noLoop3[1,4,10]
                                   2                           2 
    25 noLoop3[1,5,2]
                                   2                           2 
    26 noLoop3[1,5,3]
                                   1                           2 
    27 noLoop3[1,5,4]
                                   1                           2 
    28 noLoop3[1,5,6]
                                   1                           2 
    29 noLoop3[1,5,7]
                                   1                           2 
    30 noLoop3[1,5,8]
                                   1                           2 
    31 noLoop3[1,5,9]
                                   1                           2 
    32 noLoop3[1,5,10]
                                   1                           2 
    33 noLoop3[1,6,2]
                                   2                           2 
    34 noLoop3[1,6,3]
                                   2                           2 
    35 noLoop3[1,6,4]
                                   1                           2 
    36 noLoop3[1,6,5]
                                   2                           2 
    37 noLoop3[1,6,7]
                                   2                           2 
    38 noLoop3[1,6,8]
                                   2                           2 
    39 noLoop3[1,6,9]
                                   2                           2 
    40 noLoop3[1,6,10]
                                   2                           2 
    41 noLoop3[1,7,2]
                                   2                           2 
    42 noLoop3[1,7,3]
                                   2                           2 
    43 noLoop3[1,7,4]
                                   1                           2 
    44 noLoop3[1,7,5]
                                   2                           2 
    45 noLoop3[1,7,6]
                                   1                           2 
    46 noLoop3[1,7,8]
                                   1                           2 
    47 noLoop3[1,7,9]
                                   2                           2 
    48 noLoop3[1,7,10]
                                   2                           2 
    49 noLoop3[1,8,2]
                                   2                           2 
    50 noLoop3[1,8,3]
                                   2                           2 
    51 noLoop3[1,8,4]
                                   1                           2 
    52 noLoop3[1,8,5]
                                   2                           2 
    53 noLoop3[1,8,6]
                                   1                           2 
    54 noLoop3[1,8,7]
                                   2                           2 
    55 noLoop3[1,8,9]
                                   2                           2 
    56 noLoop3[1,8,10]
                                   2                           2 
    57 noLoop3[1,9,2]
                                   2                           2 
    58 noLoop3[1,9,3]
                                   2                           2 
    59 noLoop3[1,9,4]
                                   1                           2 
    60 noLoop3[1,9,5]
                                   2                           2 
    61 noLoop3[1,9,6]
                                   1                           2 
    62 noLoop3[1,9,7]
                                   1                           2 
    63 noLoop3[1,9,8]
                                   1                           2 
    64 noLoop3[1,9,10]
                                   2                           2 
    65 noLoop3[1,10,2]
                                   2                           2 
    66 noLoop3[1,10,3]
                                   1                           2 
    67 noLoop3[1,10,4]
                                   1                           2 
    68 noLoop3[1,10,5]
                                   2                           2 
    69 noLoop3[1,10,6]
                                   1                           2 
    70 noLoop3[1,10,7]
                                   1                           2 
    71 noLoop3[1,10,8]
                                   1                           2 
    72 noLoop3[1,10,9]
                                   1                           2 
    73 noLoop3[2,1,3]
                                   2                           2 
    74 noLoop3[2,1,4]
                                   2                           2 
    75 noLoop3[2,1,5]
                                   2                           2 
    76 noLoop3[2,1,6]
                                   2                           2 
    77 noLoop3[2,1,7]
                                   2                           2 
    78 noLoop3[2,1,8]
                                   2                           2 
    79 noLoop3[2,1,9]
                                   2                           2 
    80 noLoop3[2,1,10]
                                   2                           2 
    81 noLoop3[2,3,1]
                                   1                           2 
    82 noLoop3[2,3,4]
                                   1                           2 
    83 noLoop3[2,3,5]
                                   2                           2 
    84 noLoop3[2,3,6]
                                   1                           2 
    85 noLoop3[2,3,7]
                                   1                           2 
    86 noLoop3[2,3,8]
                                   1                           2 
    87 noLoop3[2,3,9]
                                   1                           2 
    88 noLoop3[2,3,10]
                                   2                           2 
    89 noLoop3[2,4,1]
                                   1                           2 
    90 noLoop3[2,4,3]
                                   2                           2 
    91 noLoop3[2,4,5]
                                   2                           2 
    92 noLoop3[2,4,6]
                                   2                           2 
    93 noLoop3[2,4,7]
                                   2                           2 
    94 noLoop3[2,4,8]
                                   2                           2 
    95 noLoop3[2,4,9]
                                   2                           2 
    96 noLoop3[2,4,10]
                                   2                           2 
    97 noLoop3[2,5,1]
                                   1                           2 
    98 noLoop3[2,5,3]
                                   1                           2 
    99 noLoop3[2,5,4]
                                   1                           2 
   100 noLoop3[2,5,6]
                                   1                           2 
   101 noLoop3[2,5,7]
                                   1                           2 
   102 noLoop3[2,5,8]
                                   1                           2 
   103 noLoop3[2,5,9]
                                   1                           2 
   104 noLoop3[2,5,10]
                                   1                           2 
   105 noLoop3[2,6,1]
                                   1                           2 
   106 noLoop3[2,6,3]
                                   2                           2 
   107 noLoop3[2,6,4]
                                   1                           2 
   108 noLoop3[2,6,5]
                                   2                           2 
   109 noLoop3[2,6,7]
                                   2                           2 
   110 noLoop3[2,6,8]
                                   2                           2 
   111 noLoop3[2,6,9]
                                   2                           2 
   112 noLoop3[2,6,10]
                                   2                           2 
   113 noLoop3[2,7,1]
                                   1                           2 
   114 noLoop3[2,7,3]
                                   2                           2 
   115 noLoop3[2,7,4]
                                   1                           2 
   116 noLoop3[2,7,5]
                                   2                           2 
   117 noLoop3[2,7,6]
                                   1                           2 
   118 noLoop3[2,7,8]
                                   1                           2 
   119 noLoop3[2,7,9]
                                   2                           2 
   120 noLoop3[2,7,10]
                                   2                           2 
   121 noLoop3[2,8,1]
                                   1                           2 
   122 noLoop3[2,8,3]
                                   2                           2 
   123 noLoop3[2,8,4]
                                   1                           2 
   124 noLoop3[2,8,5]
                                   2                           2 
   125 noLoop3[2,8,6]
                                   1                           2 
   126 noLoop3[2,8,7]
                                   2                           2 
   127 noLoop3[2,8,9]
                                   2                           2 
   128 noLoop3[2,8,10]
                                   2                           2 
   129 noLoop3[2,9,1]
                                   1                           2 
   130 noLoop3[2,9,3]
                                   2                           2 
   131 noLoop3[2,9,4]
                                   1                           2 
   132 noLoop3[2,9,5]
                                   2                           2 
   133 noLoop3[2,9,6]
                                   1                           2 
   134 noLoop3[2,9,7]
                                   1                           2 
   135 noLoop3[2,9,8]
                                   1                           2 
   136 noLoop3[2,9,10]
                                   2                           2 
   137 noLoop3[2,10,1]
                                   1                           2 
   138 noLoop3[2,10,3]
                                   1                           2 
   139 noLoop3[2,10,4]
                                   1                           2 
   140 noLoop3[2,10,5]
                                   2                           2 
   141 noLoop3[2,10,6]
                                   1                           2 
   142 noLoop3[2,10,7]
                                   1                           2 
   143 noLoop3[2,10,8]
                                   1                           2 
   144 noLoop3[2,10,9]
                                   1                           2 
   145 noLoop3[3,1,2]
                                   1                           2 
   146 noLoop3[3,1,4]
                                   2                           2 
   147 noLoop3[3,1,5]
                                   1                           2 
   148 noLoop3[3,1,6]
                                   2                           2 
   149 noLoop3[3,1,7]
                                   2                           2 
   150 noLoop3[3,1,8]
                                   2                           2 
   151 noLoop3[3,1,9]
                                   2                           2 
   152 noLoop3[3,1,10]
                                   1                           2 
   153 noLoop3[3,2,1]
                                   2                           2 
   154 noLoop3[3,2,4]
                                   2                           2 
   155 noLoop3[3,2,5]
                                   1                           2 
   156 noLoop3[3,2,6]
                                   2                           2 
   157 noLoop3[3,2,7]
                                   2                           2 
   158 noLoop3[3,2,8]
                                   2                           2 
   159 noLoop3[3,2,9]
                                   2                           2 
   160 noLoop3[3,2,10]
                                   1                           2 
   161 noLoop3[3,4,1]
                                   1                           2 
   162 noLoop3[3,4,2]
                                   1                           2 
   163 noLoop3[3,4,5]
                                   1                           2 
   164 noLoop3[3,4,6]
                                   2                           2 
